Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Notre-Dame de Strasbourg,Strasbourg,1439,144,472,N/A,All-Masonry,Religious
Hotel InterContinental,Chicago,1929,144,471,42,All-Steel,Hotel
Wyndham New Yorker Hotel,New York City,1930,143,470,41,All-Steel,Hotel
Tribune Tower,Chicago,1925,142,465,34,All-Steel,Office
Randolph Tower,Chicago,1929,141,463,45,All-Steel,Office
Smith Tower,Seattle,1914,141,462,38,All-Steel,Office
Montague-Court Building,New York City,1927,141,462,35,All-Steel,Office
Book Tower,Detroit,1926,140,460,38,All-Steel,Office
Trump Parc Condominiums,New York City,1930,139,456,36,All-Steel,Hotel
Paramount Building,New York City,1927,139,455,31,All-Steel,Office
City Hall,Los Angeles,1928,138,454,27,All-Steel,Office
Residence Inn Chicago Downtown/Loop,Chicago,1927,138,452,37,All-Steel,Office
Stephansdom,Vienna,1137,137,449,N/A,All-Masonry,Religious
Eleven80,Newark,1930,137,448,35,All-Steel,Office
50 Broadway,New York City,1927,137,448,37,All-Steel,Office
Adams Express Building,New York City,1916,137,448,33,All-Steel,Office
W Minneapolis - The Foshay,Minneapolis,1929,137,448,32,All-Steel,Office
Savoy-Plaza Hotel,New York City,1930,136,446,33,All-Steel,Hotel
120 Wall Street,New York City,1930,136,445,33,All-Steel,Office
Fisher Building,Detroit,1928,135,444,30,All-Steel,Office
Harriman Building,New York City,1928,135,442,37,All-Steel,Residential / Office
Royal York Hotel,Toronto,1929,134,440,26,N/A,Hotel
Maria-Empfängnis-Dom,Linz,1928,134,440,N/A,All-Masonry,Religious
Wrigley Building,Chicago,1922,134,438,27,All-Steel,
Willoughby Tower,Chicago,1929,134,438,38,All-Steel,Office
The Crest,New York City,1929,134,438,35,All-Steel,Office
Empire Trust Company Building,New York City,1927,134,438,33,All-Steel,Office
David Stott Building,Detroit,1929,133,437,38,All-Steel,Office
Cadillac Tower,Detroit,1927,133,437,40,All-Steel,Office
Petrikirche,Hamburg,1878,133,436,N/A,All-Masonry,Religious
140 New Montgomery Street,San Francisco,1925,133,435,26,All-Steel,Office
Russ Building,San Francisco,1927,133,435,32,All-Steel,Office
St. Peter's Basilica,Vatican City,1626,133,435,N/A,All-Masonry,Religious
Michaeliskirche,Hamburg,1762,132,433,N/A,All-Masonry,Religious
ITT Building,New York City,1928,132,433,35,All-Steel,Office
535 5th Avenue,New York City,1926,132,432,36,All-Steel,Office
National City Bank Building,New York City,1928,132,432,32,All-Steel,Office
Bush Tower,New York City,1917,132,432,30,All-Steel,Office
