Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Masonic Temple,Chicago,United States,1892,92,302,21.0,All-Steel,Office
St. Jacobuskerk,The Hague,Netherlands,1878,91,299,,,Religious
Call Building,San Francisco,United States,1898,91,298,19.0,All-Steel,
St. James' Church,Louth,United Kingdom,1515,90,294,,All-Masonry,Religious
St. Mary Redcliffe,Bristol,United Kingdom,1442,89,292,,All-Masonry,Religious
Park Place Tower,New York City,United States,1895,89,291,23.0,All-Steel,Office
Belfort van Brugge,Brugge,Belgium,1486,88,289,,All-Masonry,Belltower
United States Capitol,Washington D.C.,United States,1863,88,288,3.0,All-Masonry,
Lord's Court,New York City,United States,1896,87,287,20.0,All-Steel,Office
Connecticut State Capitol,Hartford,United States,1878,87,287,6.0,,Government
St. Bonifatius,Leeuwarden,Netherlands,1884,87,285,,,Religious
Riddarholmen Church,Stockholm,Sweden,1300,87,284,,All-Masonry,Religious
Trinity Church,New York City,United States,1846,87,284,,All-Masonry,Religious
Sint-Clemenskerk,Steenwijk,Netherlands,1511,86,282,,All-Masonry,Religious
Westerkerk,Amsterdam,Netherlands,1638,86,282,,All-Masonry,Religious
6 North Michigan,Chicago,United States,1899,86,282,22.0,All-Steel,Residential
Cuneratoren,Rhenen,Netherlands,1531,85,279,,All-Masonry,Religious
Rooms Katholieke Kerk van de H.H. Nicolaas en Barbara,Amsterdam,Netherlands,1883,85,279,,,Religious
Sint Dominicuskerk,Amsterdam,Netherlands,1884,85,279,,,Religious
St. Lambertusbasiliek,Hengelo,Netherlands,1890,85,279,,,Religious
Washington Life Building,New York City,United States,1898,85,278,17.0,All-Steel,Office
Saint Paul's Episcopal Cathedral,Buffalo,United States,1870,84,275,,All-Masonry,Religious
National Bank of Commerce,New York City,United States,1897,84,274,19.0,All-Steel,Office
Iowa State Capitol,Des Moines,United States,1884,84,274,4.0,,Government
Gillender Building,New York City,United States,1897,83,272,19.0,All-Steel,Office
Georgia State Capitol,Atlanta,United States,1889,83,272,4.0,,Government
Lincoln Cathedral,Lincoln,United States,1548,83,271,,All-Masonry,Religious
Erie County Hall,Buffalo,United States,1876,82,270,3.0,,Government
St. Pancras Renaissance London Hotel,London,United Kingdom,1873,82,269,9.0,All-Masonry,
Grote Kerk,Sittard,Netherlands,1505,82,269,,,Religious
Michigan State Capitol,Lansing,United States,1878,81,267,4.0,All-Masonry,Government
North American Building,Philadelphia,United States,1900,81,267,21.0,,Office
Jozefkerk,Enschede,Netherlands,1894,81,266,,,Religious
St. Peter's Cathedral,Erie,United States,1893,81,265,,,Religious
Grote Kerk,Asten,Netherlands,1898,80,262,,,Religious
Grote- of St. Bavokerk,Haarlem,Netherlands,1520,80,262,,All-Masonry,Religious
Marischal College,Aberdeen,United Kingdom,1895,80,262,,,Office / Education
New York Tribune Building,New York City,United States,1875,79,260,9.0,All-Masonry,Office
Oude Kerk,Delft,Netherlands,1350,79,259,,All-Masonry,Religious
St. Jozef- or Heuvelkerk,Tilburg,Netherlands,1889,79,259,,,Religious
Field Building,New York City,United States,1885,79,258,13.0,,Office
Metropolitan Building,Minneapolis,United States,1890,79,258,12.0,,Office
Home Life Insurance Building,New York City,United States,1894,78,256,16.0,,Office
Der Aa-Kerk,Groningen,Netherlands,1718,78,256,,All-Masonry,Religious
Salt Lake City and Country Building,Salt Lake City,United States,1894,78,256,,All-Masonry,Government
Sint Jozefkerk,Groningen,Netherlands,1887,78,256,,,Religious
