Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Philadelphia City Hall,Philadelphia,1901,167,548,7,All-Masonry,Government
Transportation Building,New York City,1928,166,545,44,All-Steel,Office
Mole Antonelliana,Turin,1889,166,543,5,N/A,Religious / Museum
The Downtown Club,New York City,1930,165,542,39,All-Steel,Hotel
Ritz Hotel Tower,New York City,1926,165,541,41,All-Steel,Hotel
14 Wall,New York City,1912,165,540,29,All-Steel,Office
Lefcourt Colonial Building,New York City,1929,164,538,45,All-Steel,Office
135 South LaSalle Street,Chicago,1934,163,535,45,All-Steel,Office
Cathedral of Learning,Pittsburgh,1936,163,535,42,All-Steel,Education
DuMont Building,New York City,1931,162,532,42,All-Steel,Office
One North LaSalle Street,Chicago,1930,162,530,48,All-Steel,Office
Ulmer Münster,Ulm,1890,162,530,N/A,All-Masonry,Religious
Travelers Tower,Hartford,1919,161,527,24,All-Steel,Office
Morrison Hotel,Chicago,1925,160,526,45,All-Steel,Hotel
The Pierre,New York City,1930,160,525,44,All-Steel,Hotel
35 East Wacker Drive,Chicago,1927,159,523,40,All-Steel,Office
Club Quarters River Hotel,Chicago,1928,159,521,38,All-Steel,Office
26 Broadway,New York City,1924,159,520,31,All-Steel,Office
Newsweek Building,New York City,1931,158,518,42,All-Steel,Office
Hohe Domkirche St. Peter und Maria,Cologne,1880,157,516,N/A,All-Masonry,Religious
Bank of New York Building,New York City,1927,156,513,31,All-Steel,Office
Millennium Towers North,New York City,1930,156,512,44,All-Steel,Office
One Hanson Place,New York City,1929,156,512,42,All-Steel,Office
International Building,New York City,1935,156,512,41,All-Steel,Office
LaSalle-Wacker Building,Chicago,1930,156,512,41,All-Steel,Office
Continental Building,New York City,1931,156,511,42,All-Steel,Office
Bank of America Building,Baltimore,1929,155,509,37,All-Steel,Office
Johns-Manville Building,New York City,1931,153,503,43,All-Steel,Office
Lefcourt National Building,New York City,1928,153,503,37,All-Steel,Office
Pendry Chicago,Chicago,1929,153,503,37,All-Steel,Office
The Barclay,New York City,1926,152,498,32,All-Steel,Office
Marriott's Custom House,Boston,1915,151,496,32,All-Steel,Office
Guardian Building,Detroit,1929,151,496,40,All-Steel,Office
20 Pine,New York City,1928,151,495,38,All-Steel,Office
Cathedrale Notre-Dame de Rouen,Rouen,1876,151,495,N/A,All-Masonry,Religious
4th & Vine Tower,Cincinnati,1913,151,495,31,All-Steel,Office
Fuller Building,New York City,1929,150,492,42,All-Steel,Office
Loews Philadelphia Hotel,Philadelphia,1932,150,492,36,All-Steel,Office
One Rockefeller Plaza,New York City,1937,149,489,34,All-Steel,Office
City Investing Building,New York City,1908,148,487,33,All-Steel,Office
Ruine St. Nikolai,Hamburg,1874,148,485,N/A,All-Masonry,Religious
Grant Building,Pittsburgh,1930,148,485,40,All-Steel,Office
McGraw-Hill Building,New York City,1931,148,485,33,All-Steel,Office
Kansas City Power & Light Building,Kansas City,1931,147,481,34,All-Steel,Office
33 North LaSalle,Chicago,1930,146,479,38,All-Steel,Office
Consolidated Gas Building,New York City,1928,146,478,24,All-Steel,Office
Bankers Building,Chicago,1927,145,476,41,All-Steel,Office
Daily News Building,New York City,1930,145,476,36,All-Steel,Office
Commerce Court North,Toronto,1931,145,476,34,All-Steel,Office
Metropolitan Tower,Chicago,1924,145,475,37,All-Steel,Residential
Koppers Building,Pittsburgh,1929,145,475,34,All-Steel,Office
American Furniture Mart,Chicago,1926,144,474,29,Concrete Over Steel,Office
One South Broad,Philadelphia,1932,144,474,28,All-Steel,Office
Notre-Dame de Strasbourg,Strasbourg,1439,144,472,N/A,All-Masonry,Religious
Hotel InterContinental,Chicago,1929,144,471,42,All-Steel,Hotel
Wyndham New Yorker Hotel,New York City,1930,143,470,41,All-Steel,Hotel
Hampshire House,New York City,1931,143,470,37,All-Steel,Hotel
National Newark Building,Newark,1931,142,465,34,All-Steel,Office
Tribune Tower,Chicago,1925,142,465,34,All-Steel,Office
Randolph Tower,Chicago,1929,141,463,45,All-Steel,Office
Smith Tower,Seattle,1914,141,462,38,All-Steel,Office
Montague-Court Building,New York City,1927,141,462,35,All-Steel,Office
JW Essex House,New York City,1931,141,461,42,All-Steel,Residential / Hotel
Book Tower,Detroit,1926,140,460,38,All-Steel,Office
Louisiana State Capitol,Baton Rouge,1932,140,460,34,All-Steel,Office
