Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
St. Patrick's Cathedral,New York City,United States,1879,103,339,,All-Masonry,
Palace of Westminster,London,United Kingdom,1859,102,336,,All-Masonry,Government
New York Tribune Building,New York City,United States,1907,102,335,19.0,All-Masonry,Office
Saint Isaac's Cathedral,St. Petersburg,Russia,1858,102,333,,All-Masonry,Religious / Museum
Frick Building,Pittsburgh,United States,1902,101,330,20.0,All-Steel,Office
43 Exchange Place,New York City,United States,1903,100,327,25.0,All-Steel,Office
Daniels & Fisher Tower,Denver,United States,1910,99,325,20.0,All-Steel,Office
90 West Street,New York City,United States,1907,99,324,23.0,All-Steel,Office
Onze Lieve Vrouwentoren,Amersfoort,Netherlands,1470,98,323,,All-Masonry,Religious
Chicago Board of Trade Building,Chicago,United States,1885,98,322,10.0,,Office
Vienna City Hall,Vienna,Austria,1883,98,322,3.0,,Government
Sint Vituskerk,Hilversum,Netherlands,1892,98,322,,,Religious
1 North Dearborn,Chicago,United States,1905,98,320,17.0,All-Steel,Office / Retail
71 Broadway,New York City,United States,1898,97,319,22.0,All-Steel,Office
United States Realty Building,New York City,United States,1907,97,318,22.0,All-Steel,Office
Allegheny County Courthouse,Pittsburgh,United States,1888,97,318,5.0,All-Masonry,Government
Grote- of Onze Lieve Vrouwekerk,Breda,Netherlands,1509,97,318,,All-Masonry,Religious
Martinitoren,Groningen,Netherlands,1627,97,318,,All-Masonry,Religious
Sint Martinitoren,Doesburg,Netherlands,1430,97,318,,All-Masonry,Religious
St. Paul's Church,Munich,Germany,1906,97,318,,All-Masonry,Religious
37 Wall Street,New York City,United States,1907,97,317,25.0,All-Steel,Residential
St. Paul Building,New York City,United States,1898,96,315,26.0,All-Steel,Office
Old Post Office Building,Washington D.C.,United States,1899,96,315,12.0,All-Steel,Office
Bowling Green Offices,New York City,United States,1898,96,315,,,Office
Brussels Town Hall,Brussels,Belgium,1455,96,315,,All-Masonry,Government
Texas State Capitol,Austin,United States,1888,95,311,4.0,All-Masonry,Government
World Building,New York City,United States,1890,94,309,20.0,All-Steel,Office
Rotes Rathaus,Berlin,Germany,1871,94,308,4.0,All-Masonry,
Belmont Hotel,New York City,United States,1908,94,308,22.0,All-Steel,Hotel
Flatiron Building,New York City,United States,1902,94,307,22.0,All-Steel,
The St. Regis,New York City,United States,1904,93,306,18.0,,Hotel
Midtown Towers,Pittsburgh,United States,1907,93,305,18.0,All-Steel,Office
Grote- of St Jacobskerk,The Hague,Netherlands,1424,93,305,,All-Masonry,Religious
Commercial Cable Building,New York City,United States,1897,93,304,21.0,All-Steel,Office
Madison Square Garden,New York City,United States,1890,93,304,15.0,,Observation / Office / Exhibition
Kansas State Capitol,Topeka,United States,1903,93,304,8.0,,Government
Edison Building,Chicago,United States,1907,92,303,20.0,All-Steel,Office
The National,Chicago,United States,1907,92,303,20.0,All-Steel,
Masonic Temple,Chicago,United States,1892,92,302,21.0,All-Steel,Office
Arcade Building,Philadelphia,United States,1901,91,300,21.0,,Office
American Woolen Building,New York City,United States,1909,91,300,19.0,,Office
The Carlyle,Pittsburgh,United States,1906,91,300,22.0,All-Steel,Office
Commonwealth Building,Pittsburgh,United States,1906,91,300,21.0,All-Steel,Office
St. Jacobuskerk,The Hague,Netherlands,1878,91,299,,,Religious
Call Building,San Francisco,United States,1898,91,298,19.0,All-Steel,Office
St. James' Church,Louth,United Kingdom,1515,90,294,,All-Masonry,Religious
Masonic Hall,New York City,United States,1909,89,292,19.0,,Office
St. Mary Redcliffe,Bristol,United Kingdom,1442,89,292,,All-Masonry,Religious
Park Place Tower,New York City,United States,1895,89,291,23.0,All-Steel,Office
